index,var_id,title,sub_id,sub_name,subcsa_id,subcsa_name,notes,vertical,unit,graph_id,graph_name,domain,turunan_variabel,turunan_variabel_id,vertical_variabel
1112,29,Iklim,151,Iklim,0,NaN,"Rata-rata Suhu Menurut Bulan di Kabupaten Kepulauan Meranti, 2015",5.0,Derajat Celcius,3.0,line,1410,Maksimum-Minimum-Rata-Rata,2,Januari-Februari-Maret-April-Mei-Juni-Juli-Agustus-September-Oktober-November-Desember
976,29,Jumlah Populasi,12,Kependudukan,0,NaN,NaN,5.0,Jiwa,1.0,bar,1409,Tidak Ada,0,Tanah Putih-Pujud-Tanah Putih Tanjung Melawan-Rantau Kopar-Tanjung Medan-Bagan Sinembah-Simpang Kanan-Bagan Sinembah Raya-Balai Jaya-Kubu-Pasir Limau Kapas-Kubu Babusalam-Bangko-Sinaboi-Batu Hampar-Pekaitan-Rimba Melintang-Bangko Pusako-Total
952,30,Jumlah Penduduk Kab Bengkalis Menurut Registrasi Disdukcapil,12,Kependudukan,0,NaN,NaN,1.0,Jiwa,1.0,bar,1408,Laki-Laki-Perempuan,1,Mandau-Pinggir-Bathin Solapan-Talang Muandau-Bukit Batu-Siak Kecil-Bandar Laksamana-Rupat-Rupat Utara-Bengkalis-Bantan
548,30,Jumlah Sekolah Negeri Menurut Kecamatan dan Tingkat Pendidikan,28,Pendidikan,0,NaN,NaN,5.0,Unit,1.0,bar,1404,TK-SD-SMP-SMA-SMK,1,Langgam-Pangkalan Kerinci-Bandar Sei Kijang-Pangkalan Kuras-Ukui-Pangkalan Lesung-Bunut-Pelalawan-Bandar Petalangan-Kuala Kampar-Kerumutan-Teluk Meranti-Kabupaten Pelalawan
383,30,Jumlah Penduduk Kabupaten Indragiri HIlir Menurut Kecamatan,12,Kependudukan,0,NaN,NaN,1.0,Jiwa,1.0,bar,1403,Tidak Ada,0,KERITANG-KEMUNING-RETEH-SUNGAI BATANG-ENOK-TANAH MERAH-KUALA INDRAGIRI-CONCONG-TEMBILAHAN-TEMBILAHAN HULU-TEMPULING-KEMPAS-BATANG TUAKA-GAUNG ANAK SERKA-GAUNG-MANDAH-KATEMAN-PELANGIRAN-TELUK BELENGKONG-PULAU BURUNG-INDRAGIRI HILIR
79,31,Banyaknya Kelurahan dan Perangkat Kelurahan di Kota Pekanbaru,101,Pemerintahan,0,NaN,"- Sumber: Kantor Camat &lt;br/&gt; - Data dikutip dari Publikasi Kota Pekanbaru Dalam Angka
",5.0,Tidak Ada Satuan,1.0,bar,1471,Kelurahan-RW-RT,2,Tampan-Payung Sekaki-Bukit Raya-Marpoyan Damai-Tenayan Raya-Limapuluh-Sail-Pekanbaru Kota-Sukajadi-Senapelan-Rumbai-Rumbai Pesisir-Kota Pekanbaru
829,31,Jumlah Penduduk Menurut Jenis Kelamin dan Kecamatan di Kabupaten Kampar Tahun 2013 ,12,Kependudukan,0,NaN,NaN,5.0,Jiwa,1.0,bar,1406,Laki-laki-Perempuan-Total,1,Kampar Kiri-Kampar Hulu-Kampar Kiri Hilir-Kampar Kiri Tengah-Gunung Sahilan-XIII Koto Kampar-Koto Kampar Hulu-Kuok-Salo-Tapung-Tapung Hulu-Tapung Hilir-Bangkinang-Bangkinang Seberang-Kampar-Kampar Timur-Rumbio Jaya-Kampar Utara-Tambang-Siak Hulu-Perhentian Raja
397,31,Indeks Pembangunan Manusia,26,Indeks Pembangunan Manusia,0,NaN,NaN,7.0,Tidak Ada Satuan,1.0,bar,1403,Tidak Ada,0,Kabupaten Indragiri Hilir
962,31,PDRB Kabupaten Bengkalis Atas Dasar Harga Berlaku Menurut Lapangan Usaha ,52,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,2018: Angka Sementara 2019: Angka Sangat Sementara,4.0,Juta Rupiah,3.0,line,1408,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-PDRB Tanpa Migas-B. Pertambangan dan Penggalian-PDRB Dengan Migas-C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang-F. Konstruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan-I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa keuangan dan Asuransi-L. Real Estat-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa Lainnya-PDRB LAPANGAN USAHA"
202,31,Luas Wilayah Kota Dumai Menurut Kecamatan ,153,Geografi,0,NaN,NaN,5.0,km2,3.0,line,1473,Tidak Ada,0,Bukit Kapur-Medang Kampai-Sungai Sembilan-Dumai Barat-Dumai Selatan-Dumai Timur-Dumai Kota-Total
900,31,PDRB ADHK 2010 menurut Lapangan Usaha,52,Produk Domestik Regional Bruto,0,NaN,"Angka tahun terakhir merupakan angka sangat sementara, sedangkan angka tahun kedua sebelum terakhir merupakan angka sementara.",5.0,Juta Rupiah,1.0,bar,1407,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian -C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F. Kontruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan -I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa Keuangan dan Asuransi-L. Real Estate-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa lainnya-Produk Domestik Regional Bruto"
901,32,Distribusi Persentase PDRB ADHB menurut Lapangan Usaha,52,Produk Domestik Regional Bruto,0,NaN,"Angka tahun terakhir merupakan angka sangat sementara, sedangkan angka tahun kedua sebelum terakhir merupakan angka sementara.",5.0,Persen,2.0,pie,1407,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian -C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F. Kontruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan -I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa Keuangan dan Asuransi-L. Real Estate-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa lainnya-Produk Domestik Regional Bruto"
415,32,PDRB Kabupaten Indragiri Hilir Atas Dasar Harga Berlaku Menurut Lapangan Usaha,52,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,data 2018 Angka Sementara data 2019 angka Sangat Sementara,8.0,Milyar Rupiah,1.0,bar,1403,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J  Informasi dan Komunikasi-K  Jasa Keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto"
963,32,PDRB Kabupaten Bengkalis Atas Dasar Harga Konstan 2010 Menurut Lapangan Usaha,52,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,2018: Angka Sementara 2019: Angka Sangat Sementara,4.0,Juta Rupiah,3.0,line,1408,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian-C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang-F. Konstruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan-I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa keuangan dan Asuransi-L. Real Estat-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa Lainnya-PDRB LAPANGAN USAHA-PDRB Tanpa Migas"
21,33,Banyaknya  Kamar Dan Tempat Tidur  Hotel  Dirinci Menurut Statusnya Di Kota Pekanbaru,16,Pariwisata,0,NaN,&#039;- Pada Kecamatan Tampan Data Hotel Swiss Bellin tidak tersedia &lt;br/&gt;,5.0,Tidak Ada Satuan,1.0,bar,1471,Hotel Berbintang - Kamar-Hotel Berbintang - Tempat Tidur-Hotel Melati - Kamar-Hotel Melati - Tempat Tidur,2,Tampan-Payung Sekaki-Bukit Raya-Marpoyan Damai-Tenayan Raya-Limapuluh-Sail-Pekanbaru Kota-Sukajadi-Senapelan-Rumbai-Rumbai Pesisir-Kota Pekanbaru
902,33,Laju Pertumbuhan PDRB menurut Lapangan Usaha,52,Produk Domestik Regional Bruto,0,NaN,"Angka tahun terakhir merupakan angka sangat sementara, sedangkan angka tahun kedua sebelum terakhir merupakan angka sementara.",5.0,Tidak Ada Satuan,3.0,line,1407,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian -C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F. Kontruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan -I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa Keuangan dan Asuransi-L. Real Estate-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa lainnya-Produk Domestik Regional Bruto"
465,33,Penduduk Menurut Jenis Kelamin dan Kecamatan,12,Kependudukan,0,NaN,NaN,5.0,Jiwa,1.0,bar,1404,Laki-Laki-Perempuan-Total-Rasio Jenis Kelamin,2,Langgam-Pangkalan Kerinci-Bandar Sei Kijang-Pangkalan Kuras-Ukui-Pangkalan Lesung-Bunut-Pelalawan-Bandar Petalangan-Kuala Kampar-Kerumutan-Teluk Meranti-Kabupaten Pelalawan
964,33,PDRB Menurut Lapangan Usaha,52,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,NaN,4.0,Juta Rupiah,3.0,line,1408,Harga Berlaku-Harga Konstan 2010,2,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian-C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang-F. Konstruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan-I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa keuangan dan Asuransi-L. Real Estat-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa Lainnya-PDRB LAPANGAN USAHA"
820,33,PDRB Kabupaten Siak Atas Dasar Harga Konstan 2010 Menurut Lapangan Usaha,154,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,"- Data 2021 Angka Sementara 
- Data 2022 Angka Sangat Sementara",5.0,Juta Rupiah,3.0,line,1405,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Moto-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J   Informasi dan Komunikasi-K  Jasa keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto-Produk Domestik Regional Bruto Tanpa Migas"
903,34,Laju Implisit PDRB menurut Lapangan Usaha,52,Produk Domestik Regional Bruto,0,NaN,"Angka tahun terakhir merupakan angka sangat sementara, sedangkan angka tahun kedua sebelum terakhir merupakan angka sementara.",5.0,Tidak Ada Satuan,3.0,line,1407,Tidak Ada,0,"A. Pertanian, Kehutanan, dan Perikanan-B. Pertambangan dan Penggalian -C. Industri Pengolahan-D. Pengadaan Listrik dan Gas-E. Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F. Kontruksi-G. Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H. Transportasi dan Pergudangan -I. Penyediaan Akomodasi dan Makan Minum-J. Informasi dan Komunikasi-K. Jasa Keuangan dan Asuransi-L. Real Estate-M,N. Jasa Perusahaan-O. Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P. Jasa Pendidikan-Q. Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U. Jasa lainnya-Produk Domestik Regional Bruto"
1008,34,Rata-Rata Curah Hujan di Kabupaten Rokan Hilir (mm),151,Iklim,0,NaN,NaN,7.0,Tidak Ada Satuan,1.0,bar,1409,Tidak Ada,0,Januari-Februari-Maret-April-Mei-Juni-Juli-Agustus-September-Oktober-November-Desember
954,34,Garis Kemiskinan Kabupaten Bengkalis,23,Kemiskinan,0,NaN,NaN,8.0,Rupiah,3.0,line,1408,Tidak Ada,0,Garis Kemiskinan
221,34,Jumlah Penduduk Menurut Kecamatan,12,Kependudukan,0,NaN,Data dikutip dari Publikasi Kuantan Singingi Dalam Angka,10.0,Jiwa,1.0,bar,1401,Tidak Ada,0,Kuantan Mudik-Hulu Kuantan-Gunung Toar-Pucuk Rantau-Singingi-Singingi Hilir-Kuantan Tengah-Sentajo Raya-Benai-Kuantan Hilir-Pangean-Logas Tanah Darat-Kuantan Hilir Seberang-Cerenti-Inuman-Kuantan Singingi
873,35,Angka Harapan Hidup,26,Indeks Pembangunan Manusia,0,NaN,NaN,1.0,Tidak Ada Satuan,1.0,bar,1407,Tidak Ada,0,Rokan Hulu
466,35,"Luas Wilayah, Jumlah Penduduk, dan Kepadatan Penduduk Per Km² Menurut Kecamatan",12,Kependudukan,0,NaN,NaN,5.0,Jiwa,1.0,bar,1404,Luas-Jumlah Penduduk-Kepadatan Penduduk,2,Langgam-Pangkalan Kerinci-Bandar Sei Kijang-Pangkalan Kuras-Ukui-Pangkalan Lesung-Bunut-Pelalawan-Bandar Petalangan-Kuala Kampar-Kerumutan-Teluk Meranti-Kabupaten Pelalawan
1046,36,Kemiskinan,23,Kemiskinan,0,NaN,"P0 : Persentase penduduk yang berada dibawah Garis Kemiskinan (GK)
P1 : Indeks Kedalaman Kemiskinan
P2 : Indeks Keparahan Kemiskinan",15.0,Tidak Ada Satuan,3.0,line,1410,Jumlah Penduduk Miskin (Dlm 000)-P0-P1-P2-Garis Kemiskinan (Rp/Kapita/Bulan),2,Kepulauan Meranti
18,36,Jumlah Penduduk menurut Kecamatan dan Jenis Kelamin di Kota Pekanbaru,12,Kependudukan,0,NaN,"- Data dikutip dari Publikasi Kota Pekanbaru Dalam Angka
",5.0,Jiwa,1.0,bar,1471,Laki-laki-Perempuan-Laki-laki+Perempuan,1,Tampan-Payung Sekaki-Bukit Raya-Marpoyan Damai-Tenayan Raya-Limapuluh-Sail-Pekanbaru Kota-Sukajadi-Senapelan-Rumbai-Rumbai Pesisir-Kota Pekanbaru
821,36,Distribusi PDRB Kabupaten Siak Atas Dasar Harga Berlaku Menurut Lapangan Usaha,154,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,"- Data 2021 Angka Sementara 
- Data 2022 Angka Sangat Sementara",5.0,Persen,2.0,pie,1405,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Moto-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J   Informasi dan Komunikasi-K  Jasa keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto-Produk Domestik Regional Bruto Tanpa Migas"
955,36,Presentase Penduduk Miskin Kabupaten Bengkalis,23,Kemiskinan,0,NaN,NaN,9.0,Persen,1.0,bar,1408,Tidak Ada,0,Presentase Penduduk Miskin
545,37,Indeks Pembangunan Manusia Kabupaten Pelalawan,26,Indeks Pembangunan Manusia,0,NaN,NaN,6.0,Tidak Ada Satuan,3.0,line,1404,Tidak Ada,0,Umur Harapan Hidup Saat Lahir (tahun)-Harapan Lama Sekolah (tahun)-Rata-rata Lama Sekolah (tahun)-Pengeluaran per kapita disesuaikan (000 Rp/tahun) -Indeks Pembangunan Manusia
874,37,Angka Harapan Hidup (Metode Baru),26,Indeks Pembangunan Manusia,0,NaN,NaN,1.0,Tidak Ada Satuan,1.0,bar,1407,Tidak Ada,0,Rokan Hulu
956,37,Indeks Pembangunan Manusia (IPM) Metode Baru,26,Indeks Pembangunan Manusia,0,NaN,NaN,10.0,Tidak Ada Satuan,1.0,bar,1408,Tidak Ada,0,Kabupaten Bengkalis-Provinsi Riau
875,38,Harapan Lama Sekolah (HLS),26,Indeks Pembangunan Manusia,0,NaN,NaN,1.0,Tidak Ada Satuan,1.0,bar,1407,Tidak Ada,0,Rokan Hulu
416,38,PDRB Kabupaten Indragiri Hilir Atas Dasar Harga Konstan 2010 Menurut Lapangan Usaha,52,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,data 2018 Angka Sementara data 2019 angka Sangat Sementara,8.0,Milyar Rupiah,1.0,bar,1403,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J  Informasi dan Komunikasi-K  Jasa Keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto"
222,38,Jumlah Penduduk Menurut Jenis Kelamin,12,Kependudukan,0,NaN,NaN,10.0,Jiwa,1.0,bar,1401,Laki-laki-Perempuan-Laki-laki+Perempuan,1,Kuantan Mudik-Hulu Kuantan-Gunung Toar-Pucuk Rantau-Singingi-Singingi Hilir-Kuantan Tengah-Sentajo Raya-Benai-Kuantan Hilir-Pangean-Logas Tanah Darat-Kuantan Hilir Seberang-Cerenti-Inuman-Kuantan Singingi
822,39,Laju Pertumbuhan PDRB Kabupaten Siak Menurut Lapangan Usaha,154,Produk Domestik Regional Bruto (Lapangan Usaha),0,NaN,"- data 2021 Angka Sementara
- data 2022 Angka Sangat Sementara",5.0,Persen,3.0,line,1405,Tidak Ada,0,"A  Pertanian, Kehutanan, dan Perikanan-B  Pertambangan dan Penggalian-C  Industri Pengolahan-D  Pengadaan Listrik dan Gas-E  Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang-F  Konstruksi-G  Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Moto-H  Transportasi dan Pergudangan-I  Penyediaan Akomodasi dan Makan Minum-J   Informasi dan Komunikasi-K  Jasa keuangan dan Asuransi-L  Real Estat-M,N  Jasa Perusahaan-O  Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib-P  Jasa Pendidikan-Q  Jasa Kesehatan dan Kegiatan Sosial-R,S,T,U  Jasa lainnya-Produk Domestik Regional Bruto-Produk Domestik Regional Bruto Tanpa Migas"
876,39,Indeks Pembangunan Manusia (IPM),26,Indeks Pembangunan Manusia,0,NaN,NaN,1.0,Tidak Ada Satuan,1.0,bar,1407,Tidak Ada,0,Rokan Hulu
951,39,Perkembangan Lifting Minyak Kabupaten Bengkalis,10,Pertambangan,0,NaN,NaN,11.0,Ribu Barel,1.0,bar,1408,Tidak Ada,0,Bengkalis
